autonomous;name;geographical_units;short_description;url
ID-AC;Aceh;SM;Aceh merupakan salah satu daerah di Nusantara yang masyarakatnya bersifat multietnis bercirikan Islam. Di daerah ini terdapat 8 sub etnis yaitu Aceh, Alas, Aneuk jame, Gayo, Kluet, Simeulu, Singkil, dan Tamiang. Kedelapan sub etnis tersebut mempunyai sejarah asal usul dan budaya yang sangat berbeda antar satu sub etnis dengan sub etnis lainnya sehingga memperkaya keragaman budaya di Aceh.;http://www.indonesia.travel/destinations/destination/19/aceh
ID-BA;Bali;NU;Bali adalah keajaiban! Inilah tujuan wisata favorit wisatawan lokal maupun mancanegara. Pulau indah ini terkenal karena memiliki pantai yang indah, pemandangan yang menakjubkan, souvenir yang menarik, serta adat dan kebudayaan yang menawan.Sampai saat ini Bali masih menjadi tujuan wisatawan nomor satu di Indonesia.;http://www.indonesia.travel/destinations/destination/35/bali
ID-BB;Bangka Belitung;SM;Pulau Bangka Belitung adalah sebuah provinsi yang namanya diambil dari dua kepulauan yaitu Bangka dan Belitung yang telah lama dikenal sebagai penghasil timah terbesar di Indonesia dan memiliki pesona alam pantai yang mengagumkan. Selain dua pulau besar juga ada pulau-pulau kecil seperti Pulau Lepar, Pulau Pongok, Pulau Mendanau dan Pulau Selat Nasik, total pulau yang telah bernama berjumlah 470 buah dan yang berpenghuni hanya 50 pul;http://www.indonesia.travel/destinations/destination/26/bangka-belitung
ID-BT;Banten;JW;Dalam sejarahnya Banten dahulu merupakan kota maritim yang kuat menandingi Kerajaan Mataram dan sekarang daerah ini merupakan desa nelayan dimana Anda masih akan mendapatkan cerminan masa lalunya. Ibukota Provinsi Banten ialah Serang. Dulu Banten merupakan salah satu tempat bersejarah yang terkenal, berjarak hanya 10 km dari kota Serang. Di tempat ini, Anda akan menemui banyak warisan dari kerajaannya yang didirikan abad 16 dan 18.;http://www.indonesia.travel/destinations/destination/29/banten
ID-BE;Bengkulu;SM;Bengkulu terletak di pesisir barat Pulau Sumatra dan berhadapan langsung dengan Samudera Indonesia. Bengkulu berada pada koordinat 300 45 300 59 LS dan 1020 14 - 1020 22 BT dengan luas wilayah 151,7 km. Penduduk yang mendiami kota ini berasal dari berbagai suku bangsa, di antaranya suku Melayu, Rejang, Serawai, Lembak, Bugis, Minang, Batak dan lain-lain. Bengkulu memiliki obyek wisata yang beragam dari wisata alam, wisata bahari, wisata sejarah, dan wisata budaya.;http://www.indonesia.travel/destinations/destination/27/bengkulu
ID-GO;Gorontalo;SL;Provinsi Gorontalo sebagian besar terdiri dari daerah pegunungan yang membentang dari utara ke selatan provinsi ini. Panorama Pegunungan Gorontalo sangat menakjubkan. Gunung-gunung dan hutan adalah rumah-rumah bagi flora dan fauna unik. Anoa, tarsius, burung maleo, dan babi rusa adalah salah satu spesies langka yang dapat Anda ditemukan di sini. Maleo, misalnya, adalah spesies burung yang telurnya lebih besar dari tubuhnya sendiri. Sementara Tarsius adalah primata terkecil di dunia, tetapi memiliki panjang sekitar 10 cm.;http://www.indonesia.travel/destinations/destination/43/gorontalo
ID-JA;Jambi;SM;Provinsi Jambi dengan total wilayah sekitar 5.343.700 hektar terdiri dari 9 kabupaten dan 1 kotamadya. Jambi adalah sebuah provinsi Indonesia yang terletak di pesisir timur di bagian tengah Pulau Sumatra. Jambi juga merupakan nama sebuah kota di provinsi ini yang merupakan kota ibukota provinsi. Jambi adalah satu dari tiga provinsi di Indonesia yang ibukota-nya bernama sama dengan nama provinsinya, selain Bengkulu dan Gorontalo.;http://www.indonesia.travel/destinations/destination/25/jambi
ID-JB;Jawa Barat;JW;Inilah Tanah Sunda yang mempesona, terbentang dari Selat Sunda di barat sampai ke perbatasan Jawa Tengah di bagian timur. Wilayah Jawa Barat bergunung-gunung dan berbukit-bukit hijau, dimana satu puncak gunung berapi dan bukit-bukit sekitarnya memeluk hangat ibu kotanya, Bandung. Sejarah Jawa Barat adalah sejarah perdagangan, rempah-rempah, dan kerajaan Padjadjaran yang terus diteliti hingga saat ini oleh para sejarawan dan arkeolog.;http://www.indonesia.travel/destinations/destination/31/jawa-barat
ID-JT;Jawa Tengah;JW;Sejarah telah meninggalkan jejaknya di Jawa Tengah, sebuah wilayah yang kaya akan kebudayaan dan tradisi yang merupakan warisan agama Hindu dan Budha yang berkuasa pada masa lalu serta pengaruh Islam yang terakhir. Dengan sejarah yang penuh warna, Jawa Tengah kini telah menjadi kota indah yang nyaman dan modern, namun masih mempertahankan ketenangan dan kedamaiannya.;http://www.indonesia.travel/destinations/destination/32/jawa-tengah
ID-JI;Jawa Timur;JW;Jawa Timur termasuk daerah paling padat di Pulau Jawa. Provinsi ini memiliki pesona wisata yang unik sehingga akan memikat Anda untuk mengunjunginya. Jawa Timur sangat kaya akan berbagai tempat alternatif liburan Anda. Daya tarik atau tujuan wisata yang ada di antaranya: wisata alam, wisata pantai, wisata gunung, wisata belanja, wisata pendidikan, wisata seni, wisata budaya, wisata bahari, wisata petualangan, wisata sejarah, wisata kerajinan, wisata lingkungan, wisata agro, wisata udara, wisata konvensi, wisata ziarah wali songo, dan juga wisata rohani.;http://www.indonesia.travel/destinations/destination/34/jawa-timur
