name;province;short_description;url;tagline;latitude;longitude
Banda Aceh;Aceh;Inilah ibu kota provinsi yang berada di ujung barat Nusantara. Sejarah mencatat Banda Aceh sebagai kota transit pelayaran internasional sekaligus pusat pendidikan, perdagangan;http://www.indonesia.travel/sites/site/494;Kota Bersejarah dan Wisata Tsunami Track;5.54655;95.31808
Pulau Weh;Aceh;Diapit oleh terumbu karang yang hidup dan menawan, Pulau Weh belum begitu tersentuh meskipun ukurannya tidak luas dan aksesnya mudah.;http://www.indonesia.travel/sites/site/41;-;5.841941;95.320708
Taman Nasional Gunung Leuser;Aceh;Taman Nasional Gunung Leuser biasa disingkat TNGL adalah salah satu Kawasan Pelestarian Alam di Indonesia seluas 1.094.692 hektar.;http://www.indonesia.travel/sites/site/258;Kemegahan dan Kekayaan Hutan Lebat Sumatera;3.7656;97.4817
Takengon;Aceh;Cobalah Anda datang ke Takengon dan nikmati Danau Laut Tawar. Dengan 4 hari di daerah ini adalah gabungan wisata bersepeda, renungan masa lalu, masa depan,...;http://www.indonesia.travel/sites/site/495;Kota di Atas Awan;4.613243;96.846714
Sabang;Aceh;Sabang adalah kota yang terletak di Pulau Weh dan merupakan pintu gerbang di kawasan ujung barat Indonesia.;http://www.indonesia.travel/sites/site/658;Pesona Keindahan Pulau Paling Barat Indonesia;5.888044;95.316529
Tapaktuan;Aceh;Tapaktuan adalah ibu kota dari Kabupaten Aceh Selatan, Provinsi Aceh. Kota ini memiliki luas 92,68 kmÂ² dengan jumlah penduduk sekira 22,343 jiwa.;http://www.indonesia.travel/sites/site/713;Kota Naga di Selatan Pulau Sumatera;3.265936;97.17706
Masjid Agung Baiturrahman;Aceh;Dengan dinding putih cerahnya dan kubah megah berwarna hitam, masjid agung berusia 130 tahun ini adalah bangunan yang indah.;http://www.indonesia.travel/sites/site/44;Fenomena Arsitektur Islami;5.51024;95.331
Pantai Iboih;Aceh;Perahu kayu nampak melayang diam di udara itu karena air laut yang sulit digambarkan beningnya membuat perahu seolah terbang.;http://www.indonesia.travel/sites/site/660;Bertambat pada Keindahan dan Petualangan di Pulau Weh;5.902779;95.217221
Pantai Sumur Tiga;Aceh;Pastikan kunjungan Anda saat ke Sabang menyambangi keindahan yang alami dan damai dari Pantai Sumur Tiga.;http://www.indonesia.travel/sites/site/723;Kristal di Pesisir Samudera yang Damai;5.89404;95.3373
Sungai Alas;Aceh;Sungai Alas mengalir langsung ke Samudera Hindia, memiliki arus yang luar biasa menarik perhatian penggemar arung jeram dari seluruh dunia.;http://www.indonesia.travel/sites/site/302;Mencicipi Pengarungan di Lebatnya Taman Nasional Gunung Leuser;3.99;97.34
Museum Tsunami Aceh;Aceh;Berlokasi di Jalan Iskandar Muda, Banda Aceh, museum ini buka setiap hari (kecuali Jumat) pukul 10.00-12.00 dan 15.00-17.00.;http://www.indonesia.travel/sites/site/659;Mengenang dan Meresapi Bencana Sarat Hikmah;5.548248;95.314842
Tugu Nol Kilometer Sabang;Aceh;Slogan terkenal “Dari Sabang sampai Merauke” dipopularkan Presiden Soekarno dari ucapan seorang perwira Belanda bernama Jenderal J.B. van Heutsz;http://www.indonesia.travel/sites/site/725;Simbol Perekat Nusantara di Batas Barat Tanah Air;5.906336;95.216732
Pantai Gapang;Aceh;Pantai Gapang di Kota Sabang, Pulau Weh, adalah salah satu pilihan wisata bahari saat Anda kunjungi saat bertandang ke Provinsi NAD;http://www.indonesia.travel/sites/site/661;Menikmati Wisata Bahari di Teluk Sabang;5.841941;95.320708
Pantai Cemara Indah;Aceh;Akhir pekan di Pantai Cemara Indah selalu ramai, masyarakat dari Kota Singkil dan sekitarnya menyempatkan diri untuk sekadar menikmati panorama di sini.;http://www.indonesia.travel/sites/site/1045;Menikmati Suguhan Panorama Pesisir di Singkil;0.2727;99.1948
Benteng Indra Patra;Aceh;Sebuah benteng peninggalan kerajaan Hindu pertama di Aceh masih dapat Anda lihat hingga saat ini dekat pantai Ujong Batee, Desa Ladong, Kecamatan Masjid Raya, Kabupaten Aceh Besar.;http://www.indonesia.travel/sites/site/666;Jejak Warisan Hindu-Budha di Tanah Rencong;5.410804;95.519739
